objectid,title,type,date,creator,is_part_of,trove_url,source_url,filename,format,pages
work-153923228,"Cartoon of meteorologist, Clement Wragge, 1906",Art work,1906,Unidentified,,https://trove.nla.gov.au/work/153923228,http://hdl.handle.net/10462/deriv/130356,work-153923228.jpg,image/jpeg,
work-153919175,"Meteorologist, Clement Wragge, at home in his tropical garden at Taringa, Brisbane, ca. 1902",Photograph,1902,Unidentified,,https://trove.nla.gov.au/work/153919175,http://hdl.handle.net/10462/deriv/133685,work-153919175.jpg,image/jpeg,
work-192577925,Wragges Observatory 1897,Photograph,1897,graham scully,,https://trove.nla.gov.au/work/192577925,https://www.flickr.com/photos/34925962@N03/3314783333,work-192577925.jpg,image/jpeg,
work-81015890,"The first observatory on Kosciuszko, Snowy Mountains, New South Wales, ca. 1897 / Charles Kerry",Photograph,1880-1910,"Kerry, Charles H. (Charles Henry), 1857-1928",,https://trove.nla.gov.au/work/81015890,http://nla.gov.au/nla.obj-138928148,work-81015890.jpg,image/jpeg,
article-162833980,Clement Wragge at Home.,Newspaper article,1894-09-08,,"<a href=""http://nla.gov.au/nla.news-title698"">The Sydney Mail and New South Wales Advertiser (NSW : 1871 - 1912)</a>",http://nla.gov.au/nla.news-article162833980,,nla.news-article162833980-16636766.jpg,image/jpeg,491.0
article-145708725,Mr. Clement Wragge.,Newspaper article,1902-11-20,,"<a href=""http://nla.gov.au/nla.news-title713"">Table Talk (Melbourne, Vic. : 1885 - 1939)</a>",http://nla.gov.au/nla.news-article145708725,,nla.news-article145708725-17382406.jpg,image/jpeg,13.0
article-87517976,MR. CLEMENT WRAGGE. DEATH IN NEW ZEALAND,Newspaper article,1922-12-16,,"<a href=""http://nla.gov.au/nla.news-title291"">Chronicle (Adelaide, SA : 1895 - 1954)</a>",http://nla.gov.au/nla.news-article87517976,,nla.news-article87517976-8605082.jpg,image/jpeg,37.0
work-9958833,Experiences of a meteorologist in South Australia / Clement L. Wragge,Book/Illustrated;Book,1980,"Wragge, Clement L. (Clement Lindley), 1852-1922",,https://trove.nla.gov.au/work/9958833,,,,
work-11308773,"The history of Goulburn, N.S.W. / by Ransome T. Wyatt",Book;Book/Illustrated;Government publication;Unpublished,1941-1995,"Wyatt, Ransome T. (Ransome Tovey)",,https://trove.nla.gov.au/work/11308773,http://nla.gov.au/nla.obj-29899609,work-11308773.jpg,image/jpeg,
article-221344158,WRAGGE,Newspaper article,1903-12-01,,"<a href=""http://nla.gov.au/nla.news-title1177"">Crookwell Gazette (NSW : 1885 - 1954)</a>",http://nla.gov.au/nla.news-article221344158,,nla.news-article221344158-24398314.jpg,image/jpeg,4.0
work-208456887,Clement Lindley Wragge,Photograph,1880,,,https://trove.nla.gov.au/work/208456887,https://collections.slsa.sa.gov.au/resource/B+9825,work-208456887.jpg,image/jpeg,
article-83156754,"""WRAGGE.""",Newspaper article,1903-02-05,,"<a href=""http://nla.gov.au/nla.news-title275"">The Daily News (Perth, WA : 1882 - 1955)</a>",http://nla.gov.au/nla.news-article83156754,,nla.news-article83156754-8005225.jpg,image/jpeg,3.0
article-70068753,'WRAGGE.',Newspaper article,1903-02-07,,"<a href=""http://nla.gov.au/nla.news-title202"">The Sunbury News (Vic. : 1900 - 1927</a>",http://nla.gov.au/nla.news-article70068753,,nla.news-article70068753-7013947.jpg,image/jpeg,4.0
article-76672882,THE POLITICAL STIGER YORTEX.,Newspaper article,1901-10-12,,"<a href=""http://nla.gov.au/nla.news-title274"">The Charleville Times (Brisbane, Qld. : 1896 - 1954)</a>",http://nla.gov.au/nla.news-article76672882,,nla.news-article76672882-7549405.jpg,image/jpeg,4.0
article-135348864,WRAGGE.,Newspaper article,1902-04-10,,"<a href=""http://nla.gov.au/nla.news-title356"">Newcastle Morning Herald and Miners' Advocate (NSW : 1876 - 1954)</a>",http://nla.gov.au/nla.news-article135348864,,nla.news-article135348864-10253102.jpg,image/jpeg,4.0
